month,year_index,phase,mau,ad_action_rate,ad_actions,ad_cpa_usd,ad_revenue_usd
2026-03-01,1,phase_1_user_growth,813,0.01603,13,3.0,40.08
2026-04-01,1,phase_1_user_growth,987,0.01611,16,3.0,47.28
2026-05-01,1,phase_1_user_growth,1304,0.01619,21,3.0,62.94
2026-06-01,1,phase_1_user_growth,1609,0.01627,26,3.0,77.48
2026-07-01,1,phase_1_user_growth,1998,0.01635,33,3.0,97.51
2026-08-01,1,phase_1_user_growth,2551,0.01643,42,3.0,125.39
2026-09-01,1,phase_1_user_growth,2980,0.01651,50,3.0,150.46
2026-10-01,1,phase_1_user_growth,3749,0.01659,63,3.0,189.24
2026-11-01,1,phase_1_user_growth,4622,0.01667,77,3.0,232.46
2026-12-01,1,phase_1_user_growth,5858,0.01675,97,3.0,291.23
2027-01-01,1,phase_1_user_growth,6642,0.01683,113,3.0,338.16
2027-02-01,1,phase_1_user_growth,7973,0.01691,132,3.0,396.76
2027-03-01,2,phase_2_marketplace_activation,9087,0.01699,156,3.0,466.53
2027-04-01,2,phase_2_marketplace_activation,10752,0.01707,185,3.0,555.03
2027-05-01,2,phase_2_marketplace_activation,12979,0.01715,221,3.0,663.34
2027-06-01,2,phase_2_marketplace_activation,14815,0.01723,256,3.0,768.38
2027-07-01,2,phase_2_marketplace_activation,17496,0.01731,307,3.0,921.56
2027-08-01,2,phase_2_marketplace_activation,18515,0.0174,322,3.0,967.16
2027-09-01,2,phase_2_marketplace_activation,21199,0.01748,374,3.0,1121.29
2027-10-01,2,phase_2_marketplace_activation,23949,0.01756,418,3.0,1254.75
2027-11-01,2,phase_2_marketplace_activation,25665,0.01764,441,3.0,1321.59
2027-12-01,2,phase_2_marketplace_activation,29951,0.01773,535,3.0,1603.72
2028-01-01,2,phase_2_marketplace_activation,28796,0.01781,498,3.0,1494.84
2028-02-01,2,phase_2_marketplace_activation,30959,0.01789,566,3.0,1699.12
2028-03-01,3,phase_3_projection,32653,0.01797,581,3.0,1744.05
2028-04-01,3,phase_3_projection,34445,0.01806,613,3.0,1837.72
2028-05-01,3,phase_3_projection,35739,0.01814,660,3.0,1979.55
2028-06-01,3,phase_3_projection,35233,0.01822,642,3.0,1926.61
2028-07-01,3,phase_3_projection,36855,0.01831,680,3.0,2039.34
2028-08-01,3,phase_3_projection,36496,0.01839,666,3.0,1996.77
2028-09-01,3,phase_3_projection,36334,0.01848,649,3.0,1948.04
2028-10-01,3,phase_3_projection,38401,0.01856,720,3.0,2159.12
2028-11-01,3,phase_3_projection,39441,0.01864,738,3.0,2215.12
2028-12-01,3,phase_3_projection,41526,0.01873,772,3.0,2315.95
2029-01-01,3,phase_3_projection,38836,0.01881,723,3.0,2169.1
2029-02-01,3,phase_3_projection,40419,0.0189,746,3.0,2238.43
