month,year_index,phase,subscription_price_usd,subscription_revenue_usd
2026-03-01,1,phase_1_user_growth,20.0,140.0
2026-04-01,1,phase_1_user_growth,20.0,160.0
2026-05-01,1,phase_1_user_growth,20.0,240.0
2026-06-01,1,phase_1_user_growth,20.0,300.0
2026-07-01,1,phase_1_user_growth,20.0,400.0
2026-08-01,1,phase_1_user_growth,20.0,540.0
2026-09-01,1,phase_1_user_growth,20.0,660.0
2026-10-01,1,phase_1_user_growth,20.0,860.0
2026-11-01,1,phase_1_user_growth,20.0,1100.0
2026-12-01,1,phase_1_user_growth,20.0,1440.0
2027-01-01,1,phase_1_user_growth,20.0,1700.0
2027-02-01,1,phase_1_user_growth,20.0,2120.0
2027-03-01,2,phase_2_marketplace_activation,20.0,2520.0
2027-04-01,2,phase_2_marketplace_activation,20.0,3080.0
2027-05-01,2,phase_2_marketplace_activation,20.0,3840.0
2027-06-01,2,phase_2_marketplace_activation,20.0,4520.0
2027-07-01,2,phase_2_marketplace_activation,20.0,5520.0
2027-08-01,2,phase_2_marketplace_activation,20.0,6020.0
2027-09-01,2,phase_2_marketplace_activation,20.0,7100.0
2027-10-01,2,phase_2_marketplace_activation,20.0,8260.0
2027-11-01,2,phase_2_marketplace_activation,20.0,9100.0
2027-12-01,2,phase_2_marketplace_activation,20.0,10900.0
2028-01-01,2,phase_2_marketplace_activation,20.0,10760.0
2028-02-01,2,phase_2_marketplace_activation,20.0,11880.0
2028-03-01,3,phase_3_projection,20.0,12840.0
2028-04-01,3,phase_3_projection,20.0,13880.0
2028-05-01,3,phase_3_projection,20.0,14740.0
2028-06-01,3,phase_3_projection,20.0,14880.0
2028-07-01,3,phase_3_projection,20.0,15920.0
2028-08-01,3,phase_3_projection,20.0,16120.0
2028-09-01,3,phase_3_projection,20.0,16400.0
2028-10-01,3,phase_3_projection,20.0,17700.0
2028-11-01,3,phase_3_projection,20.0,18580.0
2028-12-01,3,phase_3_projection,20.0,19960.0
2029-01-01,3,phase_3_projection,20.0,19040.0
2029-02-01,3,phase_3_projection,20.0,20200.0
